,instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt
0,1,1/1/2011,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,16
1,2,1/1/2011,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,40
2,3,1/1/2011,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,32
3,4,1/1/2011,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,13
4,5,1/1/2011,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,1
5,6,1/1/2011,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,1
6,7,1/1/2011,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2
7,8,1/1/2011,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,3
8,9,1/1/2011,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,8
9,10,1/1/2011,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,14
10,11,1/1/2011,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,36
11,12,1/1/2011,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,56
12,13,1/1/2011,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,84
13,14,1/1/2011,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,94
14,15,1/1/2011,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,106
15,16,1/1/2011,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,110
16,17,1/1/2011,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,93
17,18,1/1/2011,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,67
18,19,1/1/2011,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,35
19,20,1/1/2011,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,37
20,21,1/1/2011,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,36
21,22,1/1/2011,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.19399999999999998,34
22,23,1/1/2011,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,28
23,24,1/1/2011,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,39
24,25,1/2/2011,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,17
25,26,1/2/2011,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,17
26,27,1/2/2011,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,9
27,28,1/2/2011,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,6
28,29,1/2/2011,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.19399999999999998,3
29,30,1/2/2011,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,2
30,31,1/2/2011,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.19399999999999998,1
31,32,1/2/2011,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,8
32,33,1/2/2011,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,20
33,34,1/2/2011,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,53
34,35,1/2/2011,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,70
35,36,1/2/2011,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,93
36,37,1/2/2011,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,75
37,38,1/2/2011,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.19399999999999998,59
38,39,1/2/2011,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,74
39,40,1/2/2011,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,76
40,41,1/2/2011,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.19399999999999998,65
41,42,1/2/2011,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,53
42,43,1/2/2011,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,30
43,44,1/2/2011,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,22
44,45,1/2/2011,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,31
45,46,1/2/2011,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9
46,47,1/2/2011,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8
47,48,1/3/2011,1,0,1,0,0,1,1,1,0.22,0.19699999999999998,0.44,0.3582,5
48,49,1/3/2011,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2
49,50,1/3/2011,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1
50,51,1/3/2011,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3
51,52,1/3/2011,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30
52,53,1/3/2011,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.19399999999999998,64
53,54,1/3/2011,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,154
54,55,1/3/2011,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,88
55,56,1/3/2011,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,44
56,57,1/3/2011,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,51
57,58,1/3/2011,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,61
58,59,1/3/2011,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,61
59,60,1/3/2011,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,77
60,61,1/3/2011,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,72
61,62,1/3/2011,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,76
62,63,1/3/2011,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,157
63,64,1/3/2011,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,157
64,65,1/3/2011,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0.0,110
65,66,1/3/2011,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,52
66,67,1/3/2011,1,0,1,21,0,1,1,1,0.18,0.19699999999999998,0.64,0.1343,52
67,68,1/3/2011,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20
68,69,1/3/2011,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,12
69,70,1/4/2011,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5
70,71,1/4/2011,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2
71,72,1/4/2011,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1
72,73,1/4/2011,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2
73,74,1/4/2011,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4
74,75,1/4/2011,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36
75,76,1/4/2011,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,94
76,77,1/4/2011,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,179
77,78,1/4/2011,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,100
78,79,1/4/2011,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,42
79,80,1/4/2011,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,57
80,81,1/4/2011,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,78
81,82,1/4/2011,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.19399999999999998,97
82,83,1/4/2011,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,63
83,84,1/4/2011,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,65
84,85,1/4/2011,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,83
85,86,1/4/2011,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,212
86,87,1/4/2011,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.19399999999999998,182
87,88,1/4/2011,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,112
88,89,1/4/2011,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,54
89,90,1/4/2011,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0.0,48
90,91,1/4/2011,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,35
91,92,1/4/2011,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,11
92,93,1/5/2011,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0.0,6
93,94,1/5/2011,1,0,1,1,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,6
94,95,1/5/2011,1,0,1,2,0,3,1,1,0.16,0.19699999999999998,0.74,0.0896,2
95,96,1/5/2011,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2
96,97,1/5/2011,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3
97,98,1/5/2011,1,0,1,6,0,3,1,1,0.2,0.19699999999999998,0.47,0.2239,33
98,99,1/5/2011,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.19399999999999998,88
99,100,1/5/2011,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,195
100,101,1/5/2011,1,0,1,9,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,115
101,102,1/5/2011,1,0,1,10,0,3,1,1,0.22,0.19699999999999998,0.37,0.3284,57
102,103,1/5/2011,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,46
103,104,1/5/2011,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,79
104,105,1/5/2011,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,71
105,106,1/5/2011,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
106,107,1/5/2011,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.19399999999999998,62
107,108,1/5/2011,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,89
108,109,1/5/2011,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.19399999999999998,190
109,110,1/5/2011,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,169
110,111,1/5/2011,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,132
111,112,1/5/2011,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,89
112,113,1/5/2011,1,0,1,21,0,3,1,1,0.2,0.19699999999999998,0.51,0.19399999999999998,43
113,114,1/5/2011,1,0,1,22,0,3,1,1,0.18,0.19699999999999998,0.55,0.1343,42
114,115,1/5/2011,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0.0,19
115,116,1/6/2011,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0.0,11
116,117,1/6/2011,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0.0,4
117,118,1/6/2011,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0.0,2
118,119,1/6/2011,1,0,1,4,0,4,1,2,0.16,0.19699999999999998,0.64,0.0896,1
119,120,1/6/2011,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4
120,121,1/6/2011,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36
121,122,1/6/2011,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0.0,95
