,Recency,Frequency,Monetary,Time,Class
0,2,50,12500,98,1
1,0,13,3250,28,1
2,1,16,4000,35,1
3,2,20,5000,45,1
4,1,24,6000,77,0
5,4,4,1000,4,0
6,2,7,1750,14,1
7,1,12,3000,35,0
8,2,9,2250,22,1
9,5,46,11500,98,1
10,4,23,5750,58,0
11,0,3,750,4,0
12,2,10,2500,28,1
13,1,13,3250,47,0
14,2,6,1500,15,1
15,2,5,1250,11,1
16,2,14,3500,48,1
17,2,15,3750,49,1
18,2,6,1500,15,1
19,2,3,750,4,1
20,2,3,750,4,1
21,4,11,2750,28,0
22,2,6,1500,16,1
23,2,6,1500,16,1
24,9,9,2250,16,0
25,4,14,3500,40,0
26,4,6,1500,14,0
27,4,12,3000,34,1
28,4,5,1250,11,1
29,4,8,2000,21,0
30,1,14,3500,58,0
31,4,10,2500,28,1
32,4,10,2500,28,1
33,4,9,2250,26,1
34,2,16,4000,64,0
35,2,8,2000,28,1
36,2,12,3000,47,1
37,4,6,1500,16,1
38,2,14,3500,57,1
39,4,7,1750,22,1
40,2,13,3250,53,1
41,2,5,1250,16,0
42,2,5,1250,16,1
43,2,5,1250,16,0
44,4,20,5000,69,1
45,4,9,2250,28,1
46,2,9,2250,36,0
47,2,2,500,2,0
48,2,2,500,2,0
49,2,2,500,2,0
50,2,11,2750,46,0
51,2,11,2750,46,1
52,2,6,1500,22,0
53,2,12,3000,52,0
54,4,5,1250,14,1
55,4,19,4750,69,1
56,4,8,2000,26,1
57,2,7,1750,28,1
58,2,16,4000,81,0
59,3,6,1500,21,0
60,2,7,1750,29,0
61,2,8,2000,35,1
62,2,10,2500,49,0
63,4,5,1250,16,1
64,2,3,750,9,1
65,3,16,4000,74,0
66,2,4,1000,14,1
67,0,2,500,4,0
68,4,7,1750,25,0
69,1,9,2250,51,0
70,2,4,1000,16,0
71,2,4,1000,16,0
72,4,17,4250,71,1
73,2,2,500,4,0
74,2,2,500,4,1
75,2,2,500,4,1
76,2,4,1000,16,1
77,2,2,500,4,0
78,2,2,500,4,0
79,2,2,500,4,0
80,4,6,1500,23,1
81,2,4,1000,16,0
82,2,4,1000,16,0
83,2,4,1000,16,0
84,2,6,1500,28,1
85,2,6,1500,28,0
86,4,2,500,4,0
87,4,2,500,4,0
88,4,2,500,4,0
89,2,7,1750,35,1
90,4,2,500,4,1
91,4,2,500,4,0
92,4,2,500,4,0
93,4,2,500,4,0
94,12,11,2750,23,0
95,4,7,1750,28,0
96,3,17,4250,86,0
97,4,9,2250,38,1
98,4,4,1000,14,1
99,5,7,1750,26,1
100,4,8,2000,34,1
101,2,13,3250,76,1
102,4,9,2250,40,0
103,2,5,1250,26,0
104,2,5,1250,26,0
105,6,17,4250,70,0
106,0,8,2000,59,0
107,3,5,1250,26,0
108,2,3,750,14,0
109,2,10,2500,64,0
110,4,5,1250,23,1
111,4,9,2250,46,0
112,4,5,1250,23,0
113,4,8,2000,40,1
114,2,12,3000,82,0
115,11,24,6000,64,0
116,2,7,1750,46,1
117,4,11,2750,61,0
118,1,7,1750,57,0
119,2,11,2750,79,1
120,2,3,750,16,1
121,4,5,1250,26,1
122,2,6,1500,41,1
123,2,5,1250,33,1
124,2,4,1000,26,0
125,2,5,1250,34,0
126,4,8,2000,46,1
127,2,4,1000,26,0
128,4,8,2000,48,1
129,2,2,500,10,1
130,4,5,1250,28,0
131,2,12,3000,95,0
132,2,2,500,10,0
133,4,6,1500,35,0
134,2,11,2750,88,0
135,2,3,750,19,0
136,2,5,1250,37,0
137,2,12,3000,98,0
138,9,5,1250,19,0
139,2,2,500,11,0
140,2,9,2250,74,0
141,5,14,3500,86,0
142,4,3,750,16,0
143,4,3,750,16,0
144,4,2,500,9,1
145,4,3,750,16,1
146,6,3,750,14,0
147,2,2,500,11,0
148,2,2,500,11,1
149,2,2,500,11,0
150,2,7,1750,58,1
151,4,6,1500,39,0
152,4,11,2750,78,0
153,2,1,250,2,1
154,2,1,250,2,0
155,2,1,250,2,0
156,2,1,250,2,0
157,2,1,250,2,0
158,2,1,250,2,0
159,2,1,250,2,0
160,2,1,250,2,0
161,2,1,250,2,0
162,2,1,250,2,0
163,2,1,250,2,1
164,2,1,250,2,1
165,2,1,250,2,1
166,2,1,250,2,0
167,2,1,250,2,0
168,2,1,250,2,0
169,2,1,250,2,0
170,2,1,250,2,0
171,2,1,250,2,0
172,2,1,250,2,0
173,2,1,250,2,0
174,2,1,250,2,0
175,11,10,2500,35,0
176,11,4,1000,16,1
177,4,5,1250,33,1
178,4,6,1500,41,1
179,2,3,750,22,0
180,4,4,1000,26,1
181,10,4,1000,16,0
182,2,4,1000,35,0
183,4,12,3000,88,0
