,Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
0,1.1,Ideal,H,SI1,VG,EX,GIA,5169
1,0.83,Ideal,H,VS1,ID,ID,AGSL,3470
2,0.85,Ideal,H,SI1,EX,EX,GIA,3183
3,0.91,Ideal,E,SI1,VG,VG,GIA,4370
4,0.83,Ideal,G,SI1,EX,EX,GIA,3171
5,1.53,Ideal,E,SI1,ID,ID,AGSL,12791
6,1.0,Very Good,D,SI1,VG,G,GIA,5747
7,1.5,Fair,F,SI1,VG,VG,GIA,10450
8,2.11,Ideal,H,SI1,VG,VG,GIA,18609
9,1.05,Very Good,E,VS1,VG,G,GIA,7666
10,0.91,Ideal,D,VS2,VG,VG,GIA,6224
11,1.01,Good,E,SI1,G,G,GIA,5161
12,0.92,Good,I,VS2,VG,VG,GIA,3679
13,2.51,Very Good,G,VS2,VG,VG,GIA,34361
14,1.5,Very Good,F,SI1,VG,VG,GIA,11004
15,2.2,Ideal,H,VS2,EX,VG,GIA,22241
16,1.52,Ideal,D,VS1,EX,EX,GIA,17659
17,1.28,Very Good,I,VS1,EX,VG,GIA,6726
18,1.01,Good,I,SI1,VG,VG,GIA,4238
19,0.9,Very Good,F,SI1,VG,EX,GIA,3624
20,2.6,Ideal,G,VS2,EX,EX,GIA,37621
21,0.8,Very Good,F,VS1,EX,G,GIA,3559
22,1.07,Very Good,G,SI1,G,G,GIA,4829
23,2.02,Good,I,VVS2,EX,VG,GIA,19756
24,2.16,Ideal,F,VVS1,ID,ID,AGSL,44121
25,2.03,Good,G,VS1,VG,VG,GIA,23726
26,2.02,Very Good,I,SI1,G,G,GIA,14839
27,1.01,Very Good,F,SI1,EX,EX,GIA,5010
28,2.41,Very Good,H,VS2,EX,EX,GIA,27337
29,0.9,Good,H,SI1,VG,G,GIA,3485
30,0.92,Ideal,G,SI1,G,VG,GIA,4025
31,1.01,Ideal,E,VVS2,EX,EX,GIA,9735
32,2.04,Very Good,D,VVS1,VG,VG,GIA,41867
33,1.56,Ideal,G,VS1,EX,EX,GIA,14957
34,0.77,Signature-Ideal,F,SI1,EX,EX,GIA,3321
35,2.01,Very Good,I,VS1,VG,VG,GIA,18023
36,2.05,Very Good,H,VS2,VG,VG,GIA,19976
37,1.01,Very Good,F,VS2,VG,VG,GIA,6257
38,1.01,Very Good,E,SI1,EX,EX,GIA,5534
39,0.86,Ideal,E,SI1,EX,EX,GIA,4228
40,1.01,Good,G,SI1,VG,G,GIA,4905
41,2.29,Very Good,F,VS1,EX,VG,GIA,34657
42,1.28,Ideal,G,VVS2,ID,ID,AGSL,10958
43,2.12,Ideal,F,VS1,EX,EX,GIA,33667
44,0.9,Ideal,E,SI1,VG,VG,GIA,4921
45,1.44,Ideal,D,SI1,G,G,GIA,10768
46,2.28,Ideal,D,IF,VG,EX,GIA,73209
47,1.01,Signature-Ideal,D,VVS2,ID,ID,AGSL,12996
48,2.29,Ideal,G,VS2,VG,VG,GIA,27097
49,0.8,Ideal,D,VS2,VG,EX,GIA,3817
50,1.06,Signature-Ideal,G,VVS2,ID,ID,AGSL,9645
51,1.62,Ideal,F,VS2,EX,EX,GIA,18281
52,0.83,Ideal,E,SI1,EX,EX,GIA,4024
53,1.58,Ideal,G,VVS2,VG,VG,GIA,16625
54,0.91,Very Good,F,SI1,EX,VG,GIA,4546
55,1.01,Fair,D,SI1,VG,G,GIA,5628
56,1.13,Ideal,G,VVS1,EX,EX,GIA,9653
57,2.0,Good,I,SI1,EX,VG,GIA,14321
58,0.83,Very Good,H,VS2,VG,VG,GIA,3249
59,0.92,Very Good,E,SI1,VG,VG,GIA,4286
